id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C
id_001f94081_0,0.6622254,0.8196659,0.6488478
id_001f94081_4,0.78752655,0.6432289,0.5998997
id_001f94081_8,0.015075582,0.15552379,0.068346135
id_001f94081_9,0.37046126,0.73951495,0.8016464
id_001f94081_13,1.0351938,1.2574345,1.077473
id_001f94081_23,0.17973022,0.6197618,0.53821605
id_001f94081_27,0.7097507,0.5604686,0.38002273
id_001f94081_33,0.7741368,0.6316675,0.67934006
id_001f94081_41,0.052375708,0.069579154,0.091396526
id_001f94081_56,0.12547283,0.195519,0.1650296
id_001f94081_57,0.039950483,0.1938297,0.19314124
id_001f94081_59,0.7146504,0.4877768,0.5987567
id_0049f53ba_0,-1.1462512,1.0396448,0.4330216
id_0049f53ba_2,-0.75921094,1.1618267,-0.5484024
id_0049f53ba_3,1.7523504,0.184065,0.32099417
id_0049f53ba_7,-0.10423801,-0.07052746,-0.114613175
id_0049f53ba_8,-0.0762791,0.08696886,-0.008887587
id_0049f53ba_10,-0.07992086,-0.16513424,-0.13292311
id_0049f53ba_14,-0.3987026,-0.28297046,-0.13210292
id_0049f53ba_18,0.28718802,0.09813279,-0.07329128
id_0049f53ba_29,0.37272385,0.7896651,-0.19115189
id_0049f53ba_31,1.5849679,1.7963681,2.1903567
id_0049f53ba_33,-0.18854164,5.1114597,1.1148273
id_0049f53ba_37,0.11057552,0.19629364,1.5002432
id_0049f53ba_44,0.13586031,1.3081672,-0.106979616
id_0049f53ba_45,0.04574217,1.4762914,-0.06662027
id_006f36f57_1,1.4025422,1.9220614,1.5674137
id_006f36f57_27,0.6867229,0.5268504,0.5875505
id_006f36f57_40,0.67399156,0.8019749,0.6605859
id_006f36f57_42,0.8596087,1.5100067,1.570118
id_006f36f57_44,1.0098522,0.84740496,0.6749815
id_006f36f57_47,0.3211477,0.7176521,0.69156563
id_006f36f57_55,0.45774674,0.33975306,0.4878259
id_0082d463b_2,2.2703514,0.18475114,-0.5146001
id_0082d463b_6,-0.16034064,-0.16507997,-0.10403215
id_0082d463b_8,-0.15007229,-0.044116873,0.12959045
id_0082d463b_10,-0.18791585,-0.043984927,0.11431291
id_0082d463b_11,-0.10385998,0.004342807,0.00020530808
id_0082d463b_21,-0.20090005,-0.239383,0.17804414
id_0082d463b_24,0.81571466,0.41279104,-0.72524816
id_0082d463b_29,-0.27786267,0.2694557,-0.2859583
id_0082d463b_36,1.1258265,1.3941536,1.8678498
id_0082d463b_37,0.15501337,1.1717811,0.47794092
id_0082d463b_40,1.2495419,0.080395065,1.2706776
id_0082d463b_44,0.08982713,3.027111,0.56430715
id_0082d463b_47,0.10687281,0.07931718,0.9155701
id_0082d463b_54,0.28090683,0.53508353,0.64221215
id_0082d463b_56,0.70168626,-0.0422873,0.2759321
id_0082d463b_57,1.1258878,0.7396044,2.305089
id_0082d463b_58,1.9910146,2.521313,5.929929
id_0082d463b_63,0.24632356,-0.13212927,0.76816106
id_0082d463b_66,0.035382062,0.2779006,0.11211866
id_0087940f4_2,1.9481093,2.0017853,1.3557851
id_0087940f4_3,1.2113227,0.9229751,0.98639905
id_0087940f4_5,0.59897035,0.45616245,0.69911987
id_0087940f4_6,0.19601177,0.7923433,0.32640332
id_0087940f4_8,0.20120105,0.079696834,0.47721004
id_0087940f4_13,0.67589414,0.4700234,0.23761392
id_0087940f4_14,0.18491377,0.80734056,0.19663508
id_0087940f4_32,0.82730997,0.7355117,0.22552893
id_0087940f4_38,1.2050763,1.4183121,1.2259285
id_0087940f4_43,-0.05624623,-0.07087266,0.036592107
id_0087940f4_47,0.027546028,-0.013107236,0.06989762
id_0087940f4_51,0.18428373,0.36864918,0.4254914
id_0087940f4_54,0.32675895,0.12160389,0.25159523
id_0087940f4_56,0.053859312,0.3231256,0.18630242
id_0087940f4_64,0.09037043,0.48353896,0.24057944
id_0087940f4_65,0.014864161,0.44354218,0.34794274
id_00ab2d761_4,0.4908852,0.33094916,0.54864925
id_00ab2d761_8,-0.005579969,0.12323564,0.030032761
id_00ab2d761_12,0.4009442,0.28846604,0.15041271
id_00ab2d761_14,0.030878298,0.23587282,0.15888448
id_00ab2d761_21,0.23783085,0.32336217,0.15605064
id_00ab2d761_23,0.3837615,0.4536549,0.32053998
id_00ab2d761_28,0.16355951,0.3888815,0.4215689
id_00ab2d761_49,0.20645212,0.15055448,0.15503672
id_00ab2d761_51,0.028955998,0.09888018,0.035694912
id_00ab2d761_53,0.0556972,0.24011995,0.11382071
id_00ab2d761_56,0.033796452,0.17702834,0.099963166
id_00ab2d761_67,0.40222654,0.57492065,0.33096328
id_00abef1d7_2,1.2029998,0.7921547,1.0134813
id_00abef1d7_5,0.74315107,1.1459677,1.4155957
id_00abef1d7_6,0.6429459,1.2432592,1.6879776
id_00abef1d7_8,0.81785405,1.3111684,1.4005947
id_00abef1d7_17,0.51636046,0.32024625,0.19136655
id_00abef1d7_18,0.28879264,0.19526415,0.1528981
id_00abef1d7_20,0.6455074,0.38682485,0.40934873
id_00abef1d7_26,-0.0046413797,0.2452656,-0.031580612
id_00abef1d7_29,0.04216794,0.113897875,-0.045782562
id_00abef1d7_33,0.08239345,0.0789186,0.003974406
id_00abef1d7_38,0.58949447,0.13578948,0.20993859
id_00abef1d7_56,-0.025107162,0.026295256,0.033279147
id_00abef1d7_58,0.087919176,0.17776945,0.15918663
id_00abef1d7_60,0.06703807,0.22927932,0.1005229
id_00abef1d7_66,0.3820508,0.4250259,0.47804096
id_00b436dec_1,1.7189306,2.0993311,2.0861187
