id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C
id_001f94081_0,0.54189456,0.86571926,0.46703008
id_001f94081_4,0.6277105,0.5793122,0.6952537
id_001f94081_8,0.22050644,0.19692948,0.16355126
id_001f94081_9,0.32270402,0.8856624,0.99225605
id_001f94081_13,1.1250156,1.3171684,1.0776035
id_001f94081_23,0.15443227,0.6046531,0.44807318
id_001f94081_27,0.7176861,0.49392447,0.32551917
id_001f94081_33,0.66305894,0.7241218,0.85758543
id_001f94081_41,0.06374323,0.08700115,0.118380725
id_001f94081_56,0.16267465,0.20668277,0.17072509
id_001f94081_57,0.12647244,0.18502845,0.203633
id_001f94081_59,0.48545244,0.48242572,0.56402564
id_0049f53ba_0,-0.09016385,1.0654242,1.8035018
id_0049f53ba_2,0.19844481,0.77048326,3.9835415
id_0049f53ba_3,2.6143517,0.17793043,0.8255665
id_0049f53ba_7,-0.06831192,-0.26626042,-0.06522033
id_0049f53ba_8,0.04724875,-0.078216515,0.07336798
id_0049f53ba_10,-0.009210684,-0.15222134,0.056858048
id_0049f53ba_14,-0.10579271,-0.043972418,-0.023826387
id_0049f53ba_18,0.1573885,0.23101261,0.59449077
id_0049f53ba_29,0.1660943,3.8634062,1.5866222
id_0049f53ba_31,0.7797923,1.623121,0.7950048
id_0049f53ba_33,0.16596048,6.0541224,0.2153812
id_0049f53ba_37,-0.03875277,0.3063553,1.5198643
id_0049f53ba_44,0.020329524,1.0385826,1.3487737
id_0049f53ba_45,-0.01713435,1.0300591,0.7219033
id_006f36f57_1,1.6917545,1.9745542,1.7922915
id_006f36f57_27,0.5533819,0.59085226,0.4285536
id_006f36f57_40,0.7821745,0.8201894,0.7488629
id_006f36f57_42,0.7815213,1.438835,1.648024
id_006f36f57_44,0.96208924,0.72549,0.63971394
id_006f36f57_47,0.38807052,0.7749577,0.63495415
id_006f36f57_55,0.42619953,0.38465044,0.51307833
id_0082d463b_2,0.81953275,-0.1967899,-0.57291067
id_0082d463b_6,-0.0069360053,-0.2718196,-0.26273143
id_0082d463b_8,-0.120742664,-0.23636205,-0.3565501
id_0082d463b_10,-0.14192766,-0.09145719,-0.08651165
id_0082d463b_11,0.005018656,0.01896778,-0.048292786
id_0082d463b_21,-0.33771095,0.045000363,0.20096937
id_0082d463b_24,1.1580281,0.8757565,-0.2213846
id_0082d463b_29,-0.05765068,0.23696846,0.09974095
id_0082d463b_36,0.8396151,1.5978588,1.8935063
id_0082d463b_37,-0.04482033,2.534786,0.23493369
id_0082d463b_40,1.0806167,0.433457,0.91707987
id_0082d463b_44,-0.198817,2.8582978,7.0777545
id_0082d463b_47,0.06045454,-0.045551967,1.7974708
id_0082d463b_54,1.0544826,-0.074643485,0.709314
id_0082d463b_56,4.0452194,-0.039706822,2.5907116
id_0082d463b_57,1.114667,1.152477,3.8254323
id_0082d463b_58,1.4544975,2.215021,4.439217
id_0082d463b_63,-0.12129893,-0.11323454,1.2229741
id_0082d463b_66,-0.014408938,0.37507576,2.4478257
id_0087940f4_2,1.3109679,2.2884674,1.6981561
id_0087940f4_3,0.69865394,1.4936441,2.4932678
id_0087940f4_5,0.9437708,0.6743755,2.1311586
id_0087940f4_6,0.025371257,0.9721847,-0.04243058
id_0087940f4_8,0.6044533,0.70197654,0.07407776
id_0087940f4_13,0.15349594,0.16388288,0.011441999
id_0087940f4_14,0.013482084,0.69284594,-0.0548423
id_0087940f4_32,0.08575535,0.5715581,0.4682418
id_0087940f4_38,1.4145991,1.5842931,0.6784071
id_0087940f4_43,-0.014261453,0.02180245,0.053944573
id_0087940f4_47,-0.013307133,0.06738751,0.70366144
id_0087940f4_51,0.059285726,0.31521222,0.6616542
id_0087940f4_54,0.16818398,0.18393935,0.055626452
id_0087940f4_56,0.363832,0.33772066,-0.04734797
id_0087940f4_64,-0.0736872,0.44542515,0.045442976
id_0087940f4_65,0.07954103,0.47931707,0.64596546
id_00ab2d761_4,0.40053162,0.4563776,0.4817972
id_00ab2d761_8,-0.019304657,0.077389926,0.089227796
id_00ab2d761_12,0.12489612,0.2524167,-0.011693363
id_00ab2d761_14,0.035624743,0.22771268,0.21301104
id_00ab2d761_21,0.29765403,0.34274793,0.100452036
id_00ab2d761_23,0.16565464,0.46122953,0.23721829
id_00ab2d761_28,0.302567,0.4068391,0.43375662
id_00ab2d761_49,0.033055786,0.1065604,0.12689476
id_00ab2d761_51,0.004820193,0.10589953,0.012777915
id_00ab2d761_53,0.026440082,0.22529972,0.065631956
id_00ab2d761_56,0.031423863,0.15923327,0.009580986
id_00ab2d761_67,0.43188247,0.5942971,0.44375622
id_00abef1d7_2,1.2458078,0.82546973,1.5223258
id_00abef1d7_5,0.48371106,1.2279729,1.6936913
id_00abef1d7_6,0.37380442,1.45659,2.1065812
id_00abef1d7_8,0.6612406,1.0997401,1.0994912
id_00abef1d7_17,0.28828004,0.31705958,0.15525973
id_00abef1d7_18,0.08582943,0.16707306,0.14127427
id_00abef1d7_20,-0.09317638,1.2632326,0.46828562
id_00abef1d7_26,0.028859394,0.20526013,0.11585195
id_00abef1d7_29,0.059726126,0.08821376,0.044007305
id_00abef1d7_33,-0.022895582,0.10665043,-0.04280493
id_00abef1d7_38,0.44248402,0.2080487,0.04086489
id_00abef1d7_56,0.015374397,0.020484695,-0.0061104726
id_00abef1d7_58,-0.008053474,0.1934906,0.08098449
id_00abef1d7_60,0.0064372453,0.19895458,-0.025404315
id_00abef1d7_66,0.4836086,0.3520072,0.55295175
id_00b436dec_1,1.2209551,2.0715353,2.7449117
id_00b436dec_13,-0.052530307,0.25612643,-0.013861703
id_00b436dec_15,-0.024066806,0.081484474,-0.04365248
id_00b436dec_16,0.19620012,-0.15165858,-0.15989695
id_00b436dec_27,0.9621537,0.34242603,0.37446913
id_00b436dec_28,0.52083504,0.71691436,0.41469318
id_00b436dec_36,0.3380108,0.1678908,0.11722757
id_00b436dec_40,0.1209947,0.12288116,0.14485008
id_00b436dec_41,0.114988364,0.54891336,0.23502576
id_00b436dec_45,0.20588347,0.20253657,0.048962556
id_00b436dec_51,0.2588335,0.35544756,0.09263259
id_00b436dec_59,0.048462585,0.1715061,0.10453693
id_00b436dec_66,0.3609933,0.22772573,0.3107324
id_00fcc5cd1_0,-0.21619216,1.0394356,2.0713825
id_00fcc5cd1_5,0.12707007,-0.15354432,0.039009698
id_00fcc5cd1_8,0.04079398,0.09780497,-0.019144388
id_00fcc5cd1_13,0.047019303,-0.080452785,-0.009694458
id_00fcc5cd1_14,0.0020902862,0.33189812,0.015997678
id_00fcc5cd1_23,0.12553,0.025945928,0.009110406
id_00fcc5cd1_24,-0.031985655,0.440589,-0.03795151
id_00fcc5cd1_27,-0.039219752,0.026488302,0.6641559
id_00fcc5cd1_31,0.069792256,0.2989635,0.03258574
id_00fcc5cd1_37,-0.075206004,-0.05097155,0.23300257
id_00fcc5cd1_38,0.13363746,0.35379758,-0.07507931
id_00fcc5cd1_40,-0.04057473,0.021324515,0.033338085
id_00fcc5cd1_64,-0.09626632,0.2795372,-0.008656747
id_00fcc5cd1_65,-0.0755376,0.47248423,0.6850641
id_00fcc5cd1_67,0.5542804,1.248635,0.8501631
id_010ab0472_1,1.3570871,1.7741876,1.464786
id_010ab0472_4,0.6706686,0.7657166,0.43891403
id_010ab0472_6,0.23890546,0.55478966,0.48507452
id_010ab0472_11,0.5660987,0.4842316,0.20424457
id_010ab0472_21,0.95923895,0.920393,0.53982073
id_010ab0472_23,0.7519529,0.6498516,0.48862913
id_010ab0472_39,0.008121627,0.04755152,0.050584428
id_010ab0472_41,0.04244474,0.120854326,0.085565
id_010ab0472_47,1.4571712,1.3210977,1.1164452
id_010ab0472_49,1.4610091,1.0063286,0.8241021
id_010ab0472_53,0.74921924,0.6259024,0.5988861
id_010ab0472_58,0.14635114,0.5343334,0.19521102
id_010ab0472_60,0.023996003,0.21633518,0.06065915
id_010ab0472_61,0.026664017,0.25409406,0.050264016
id_0172c2cb6_3,0.6439819,0.28703508,0.18315947
id_0172c2cb6_4,0.9547895,0.8876126,0.90713227
id_0172c2cb6_18,0.034557965,0.3553455,0.37395412
id_0172c2cb6_23,0.15186748,0.13989514,0.16430578
id_0172c2cb6_30,0.056944747,0.024456229,0.043002322
id_0172c2cb6_35,1.4649184,0.22277476,0.24344735
id_0172c2cb6_36,0.43972117,0.49597088,0.4469079
